origin,order,n_train,lb_stat_lag5,lb_pvalue_lag5,significant_005
2000,"(0, 0, 2)",21,4.8618,0.433,False
2001,"(1, 0, 0)",22,4.4944,0.4806,False
2002,"(2, 0, 0)",23,3.2707,0.6583,False
2003,"(2, 0, 0)",24,3.1129,0.6826,False
2004,"(2, 0, 0)",25,3.2697,0.6585,False
2005,"(2, 0, 0)",26,3.8879,0.5657,False
2006,"(2, 0, 0)",27,3.6522,0.6005,False
2007,"(2, 0, 0)",28,2.7844,0.7332,False
2008,"(2, 0, 0)",29,3.601,0.6082,False
2009,"(1, 0, 1)",30,3.4868,0.6254,False
2010,"(2, 0, 2)",31,5.4984,0.3581,False
2011,"(1, 0, 1)",32,3.1618,0.6751,False
2012,"(2, 0, 0)",33,4.0352,0.5444,False
2013,"(2, 0, 0)",34,4.4268,0.4897,False
2014,"(1, 0, 1)",35,4.0781,0.5382,False
2015,"(1, 0, 0)",36,3.072,0.6889,False
2016,"(1, 0, 1)",37,4.7544,0.4466,False
2017,"(1, 0, 1)",38,4.4829,0.4822,False
2018,"(1, 0, 1)",39,5.6194,0.345,False
2019,"(1, 0, 1)",40,5.4479,0.3637,False
2020,"(1, 0, 1)",41,2.9415,0.709,False
2021,"(1, 0, 1)",42,2.9593,0.7063,False
2022,"(1, 0, 1)",43,2.7553,0.7377,False
2023,"(1, 0, 1)",44,2.8178,0.7281,False
