model,horizon,rmse,mae,n_test,avg_train_time_s,avg_peak_memory_mb
Persistence,1,0.8161033111711903,0.6743057465437797,24,2.6325384775797525e-06,2.4e-05
Persistence,2,0.8624568321521571,0.695353089447964,23,2.7780947477921196e-06,2.3999999999999997e-05
Persistence,3,0.8460389875420684,0.658307439290546,22,2.86102294921875e-06,2.4e-05
Persistence,4,0.7734342053523339,0.6531003237026457,21,2.758843558175223e-06,2.4e-05
ARIMA,1,0.7397913922214839,0.5932636767347182,24,0.009530653556187948,0.067402
ARIMA,2,0.7267440190620184,0.5821016512935888,23,0.007980336313662321,0.06701704347826087
ARIMA,3,0.7364038132411564,0.5949880971048332,22,0.006066224791786887,0.06747977272727274
ARIMA,4,0.7786786186006514,0.6651756912914092,21,0.005715392884753999,0.06795638095238095
SARIMA,1,0.7356634315612809,0.6062589356248482,24,0.008615930875142416,0.06821266666666666
SARIMA,2,0.7694754203327662,0.612443703391801,23,0.008002975712651792,0.06569278260869565
SARIMA,3,0.8040231929644318,0.664816045837624,22,0.006607174873352051,0.0660175
SARIMA,4,0.8269818171230274,0.6978121831829723,21,0.007240624654860724,0.06631266666666666
ARIMAX,1,0.7707189822603839,0.6308196666369909,24,0.08081157008806865,0.2603911666666667
ARIMAX,2,0.8127303892600479,0.6819420345017398,23,0.06057860540307086,0.26000713043478263
ARIMAX,3,0.830665502849862,0.6974293171720928,22,0.05369823629205877,0.26143713636363636
ARIMAX,4,0.8624653941223976,0.73284520021269,21,0.06760517756144206,0.26218619047619046
Prophet,1,0.6793368087661092,0.5515600966542783,24,0.9989816645781199,1.8299290833333333
Prophet,2,0.7211934777731721,0.6212665314167597,23,1.1705893226291821,1.8510991304347826
Prophet,3,0.7762977867654811,0.638492177266627,22,1.0499688495289197,1.8725973181818183
Prophet,4,0.8818801729738459,0.7628879889857252,21,1.078929833003453,1.8850938095238097
RandomForest,1,0.9170172831909815,0.7338922233163062,24,0.807549407084783,0.398986375
RandomForest,2,0.9665897231423088,0.8467045389655743,23,0.930427945178488,0.3939816086956522
RandomForest,3,1.0185182421620897,0.9117003287797965,22,0.9236307035792958,0.3936680454545455
RandomForest,4,1.0550656018887095,0.9259241835822226,21,0.8990826039087205,0.39352738095238093
XGBoost,1,1.1397431981697366,0.8796959807931666,24,0.7835659186045328,0.39453441666666667
XGBoost,2,1.137170396838443,1.0136670414888773,23,0.8012741130331288,0.39271326086956526
XGBoost,3,1.2400759023739785,1.1270336640537237,22,0.7574223171580922,0.39227399999999996
XGBoost,4,1.252121859894695,1.1179500906107076,21,0.7601780210222516,0.3926145238095238
ARIMA+XGBoost,1,0.7069890029753031,0.5574708705008361,24,0.8488693435986837,0.3970829166666667
ARIMA+XGBoost,2,0.6854975830818056,0.5293865912603511,23,0.9150214402571969,0.3966359565217391
ARIMA+XGBoost,3,0.6884036864937696,0.5510062417150234,22,0.7916491790251299,0.39616286363636366
ARIMA+XGBoost,4,0.6935666888929133,0.5895773282570023,21,0.8459845951625279,0.39609133333333335
