horizon,model,standard_rmse,oracle_rmse,improvement_pct,n_test
2,ARIMA,0.7267440190620184,0.7267440190620184,0.0,23
3,ARIMA,0.7364038132411564,0.7364038132411564,0.0,22
4,ARIMA,0.7786786186006514,0.7786786186006514,0.0,21
1,ARIMA+XGBoost,0.7069890029753031,2.04292230824257,-189.0,24
2,ARIMA+XGBoost,0.6854975830818056,1.336899212040854,-95.0,23
3,ARIMA+XGBoost,0.6884036864937696,1.3502719323062435,-96.1,22
4,ARIMA+XGBoost,0.6935666888929133,1.3510154271269117,-94.8,21
1,ARIMAX,0.7707189822603839,0.7269211540165782,5.7,24
2,ARIMAX,0.8127303892600479,0.7729735057229583,4.9,23
3,ARIMAX,0.830665502849862,0.8538098926228449,-2.8,22
4,ARIMAX,0.8624653941223976,0.8225499050755367,4.6,21
1,Prophet,0.6793368087661092,0.6793368087661092,0.0,24
2,Prophet,0.7211934777731721,0.7132650595551402,1.1,23
3,Prophet,0.7762977867654811,0.7160809474662875,7.8,22
4,Prophet,0.8818801729738459,0.8075173958525824,8.4,21
1,RandomForest,0.9170172831909816,0.7287031323686063,20.5,24
2,RandomForest,0.9665897231423088,0.7537430622307669,22.0,23
3,RandomForest,1.0185182421620895,0.749428949257082,26.4,22
4,RandomForest,1.0550656018887097,0.7539123066589878,28.5,21
1,XGBoost,1.1397431981697366,0.778817672784603,31.7,24
2,XGBoost,1.137170396838443,0.8111039985226478,28.7,23
3,XGBoost,1.2400759023739785,0.7916371613393426,36.2,22
4,XGBoost,1.252121859894695,0.791455605999403,36.8,21
