model,horizon,test_year,y_true,y_pred,pi_lower,pi_upper,pi_width,interval_score,covered
ARIMA,1,2001,7.08,8.144533887125526,7.196385705885536,9.092682068365516,1.8962963624799798,6.5517,False
ARIMA,2,2002,8.0,7.6043677638161995,6.601180141577819,8.60755538605458,2.006375244476761,2.0064,True
ARIMA,3,2003,7.78,7.037356715759193,5.709935852818418,8.364777578699968,2.6548417258815498,2.6548,True
ARIMA,4,2004,7.77,7.037356715759193,5.709935852818418,8.364777578699968,2.6548417258815498,2.6548,True
ARIMA,1,2002,8.0,7.022393867336361,5.920903067306092,8.12388466736663,2.2029816000605376,2.203,True
ARIMA,2,2003,7.78,6.986987848525638,5.6940794183435655,8.27989627870771,2.5858168603641447,2.5858,True
ARIMA,3,2004,7.77,6.965226516701042,5.6070102796452685,8.323442753756815,2.7164324741115466,2.7164,True
ARIMA,4,2005,7.96,6.951851514972895,5.569767398520074,8.333935631425716,2.764168232905641,2.7642,True
ARIMA,1,2003,7.78,7.408539316006874,6.3579303147815915,8.459148317232156,2.1012180024505644,2.1012,True
ARIMA,2,2004,7.77,7.558212718796298,6.432108686545115,8.684316751047481,2.2522080645023657,2.2522,True
ARIMA,3,2005,7.96,7.3730226537890085,6.102669662765572,8.643375644812444,2.5407059820468723,2.5407,True
ARIMA,4,2006,8.03864910059748,7.363045162697941,6.0331819857229405,8.692908339672941,2.659726353950001,2.6597,True
ARIMA,1,2004,7.77,7.717072078163547,6.680309974503675,8.753834181823418,2.0735242073197426,2.0735,True
ARIMA,2,2005,7.96,7.605559032587434,6.478410502924494,8.732707562250372,2.2542970593258778,2.2543,True
ARIMA,3,2006,8.03864910059748,7.533772108262625,6.26262594694233,8.80491826958292,2.5422923226405905,2.5423,True
ARIMA,4,2007,7.234262738177594,7.460232631297778,6.121218454476487,8.799246808119069,2.6780283536425813,2.678,True
ARIMA,1,2005,7.96,7.633716060922054,6.618317166733908,8.6491149551102,2.030797788376292,2.0308,True
