model,horizon,rmse,mae,n_test,avg_train_time_s,avg_peak_memory_mb
Persistence,1,0.8161033111711903,0.6743057465437797,24,6.427367528279622e-06,2e-05
Persistence,2,0.8624568321521571,0.695353089447964,23,8.883683577827785e-06,2.3999999999999997e-05
Persistence,3,0.8460389875420684,0.658307439290546,22,8.214603770862926e-06,2.4e-05
Persistence,4,0.7734342053523339,0.6531003237026457,21,7.345562889462426e-06,2.2857142857142858e-05
ARIMA,1,0.7397913922214839,0.5932636767347182,24,0.01927735408147176,0.06740979166666666
ARIMA,2,0.7267440190620184,0.5821016512935888,23,0.015592595805292543,0.0668583043478261
ARIMA,3,0.7364038132411564,0.5949880971048332,22,0.01474363153631037,0.06740422727272727
ARIMA,4,0.7786786186006514,0.6651756912914092,21,0.022300879160563152,0.06793085714285714
SARIMA,1,0.7356634315612809,0.6062589356248482,24,0.018477022647857666,0.06814275
SARIMA,2,0.7694754203327662,0.612443703391801,23,0.012606765912926716,0.0656544347826087
SARIMA,3,0.8040231929644318,0.664816045837624,22,0.01215991106900302,0.0659095
SARIMA,4,0.8269818171230274,0.6978121831829723,21,0.010573046548025948,0.06626147619047619
ARIMAX,1,0.7707189835020325,0.6308196673205023,24,0.1934520204861959,0.260701875
ARIMAX,2,0.8127303888712064,0.6819420330955964,23,0.17427208112633746,0.2602976956521739
ARIMAX,3,0.8306655086713569,0.6974293236192401,22,0.1974491856314919,0.2616550909090909
ARIMAX,4,0.8624654002752149,0.7328452126883536,21,0.27079310871305917,0.262571380952381
Prophet,1,0.6793368085090723,0.551560095087023,24,1.506610373655955,1.8307877916666666
Prophet,2,0.7211934757155081,0.6212665252949519,23,1.4323673766592275,1.8504129130434783
Prophet,3,0.7762977807170873,0.6384921716022253,22,1.4444870948791504,1.8639390909090907
Prophet,4,0.8818801759583665,0.7628879958571546,21,1.454925537109375,1.8929349523809524
RandomForest,1,0.9170172831909815,0.7338922233163062,24,1.1514070431391399,0.3988560833333333
RandomForest,2,0.9665897231423088,0.8467045389655743,23,1.1859189945718516,0.39492865217391304
RandomForest,3,1.0185182421620897,0.9117003287797965,22,1.1876964352347634,0.39333577272727277
RandomForest,4,1.0550656018887095,0.9259241835822226,21,1.1932053225381034,0.39459357142857143
XGBoost,1,1.1397431981697366,0.8796959807931666,24,1.0152759750684102,0.3967271666666667
XGBoost,2,1.137170396838443,1.0136670414888773,23,1.0575739508089812,0.39378730434782605
XGBoost,3,1.2400759023739785,1.1270336640537237,22,1.0496840476989746,0.3923657272727273
XGBoost,4,1.252121859894695,1.1179500906107076,21,1.0886513278597878,0.3933105238095238
ARIMA+XGBoost,1,0.7069890029753031,0.5574708705008361,24,1.0627071460088093,0.399137625
ARIMA+XGBoost,2,0.6854975830818056,0.5293865912603511,23,1.1753424872522769,0.39795795652173915
ARIMA+XGBoost,3,0.6884036864937696,0.5510062417150234,22,1.2711996815421365,0.39833413636363635
ARIMA+XGBoost,4,0.6935666888929133,0.5895773282570023,21,1.281894331886655,0.3986053333333333
