model,horizon,test_year,y_true,y_pred,train_time_s,peak_memory_mb
Persistence,1,2001,7.08,8.01,4.76837158203125e-06,0.0
Persistence,1,2002,8.0,7.08,3.0994415283203125e-06,0.0
Persistence,1,2003,7.78,8.0,3.5762786865234375e-06,0.0
Persistence,1,2004,7.77,7.78,4.0531158447265625e-06,0.0
Persistence,1,2005,7.96,7.77,3.814697265625e-06,0.0
Persistence,1,2006,8.03864910059748,7.96,3.814697265625e-06,0.0
Persistence,1,2007,7.234262738177594,8.03864910059748,4.0531158447265625e-06,0.0
Persistence,1,2008,8.281402712725113,7.234262738177594,3.337860107421875e-06,0.0
Persistence,1,2009,7.927665247495372,8.281402712725113,3.5762786865234375e-06,0.0
Persistence,1,2010,7.7,7.927665247495372,2.86102294921875e-06,0.0
Persistence,1,2011,7.7,7.7,3.0994415283203125e-06,0.0
Persistence,1,2012,6.662665686341732,7.7,4.5299530029296875e-06,0.0
Persistence,1,2013,7.383846462514578,6.662665686341732,5.0067901611328125e-06,0.0
Persistence,1,2014,8.57865036450464,7.383846462514578,5.4836273193359375e-06,0.0
Persistence,1,2015,8.974580086118658,8.57865036450464,3.5762786865234375e-06,0.0
Persistence,1,2016,7.888437070186669,8.974580086118658,1.5020370483398438e-05,2.4e-05
Persistence,1,2017,8.280339577079515,7.888437070186669,1.4066696166992188e-05,2.4e-05
Persistence,1,2018,7.755935639187829,8.280339577079515,1.33514404296875e-05,2.4e-05
Persistence,1,2019,8.935340611677379,7.755935639187829,1.0013580322265625e-05,2.4e-05
Persistence,1,2020,6.962318260153343,8.935340611677379,1.3113021850585938e-05,2.4e-05
Persistence,1,2021,7.812622033977193,6.962318260153343,1.2874603271484375e-05,2.4e-05
Persistence,1,2022,8.570540370269171,7.812622033977193,3.218650817871094e-05,2.4e-05
Persistence,1,2023,8.1,8.570540370269171,1.2159347534179688e-05,2.4e-05
Persistence,1,2024,7.281128211789584,8.1,1.5020370483398438e-05,2.4e-05
Persistence,2,2002,8.0,8.01,2.9802322387695312e-05,2.4e-05
Persistence,2,2003,7.78,7.08,1.1682510375976562e-05,2.4e-05
Persistence,2,2004,7.77,8.0,1.9550323486328125e-05,2.4e-05
Persistence,2,2005,7.96,7.78,1.2636184692382812e-05,2.4e-05
Persistence,2,2006,8.03864910059748,7.77,1.5735626220703125e-05,2.4e-05
Persistence,2,2007,7.234262738177594,7.96,1.1920928955078125e-05,2.4e-05
Persistence,2,2008,8.281402712725113,8.03864910059748,1.2636184692382812e-05,2.4e-05
Persistence,2,2009,7.927665247495372,7.234262738177594,1.3828277587890625e-05,2.4e-05
Persistence,2,2010,7.7,8.281402712725113,1.7642974853515625e-05,2.4e-05
Persistence,2,2011,7.7,7.927665247495372,1.2636184692382812e-05,2.4e-05
Persistence,2,2012,6.662665686341732,7.7,1.33514404296875e-05,2.4e-05
Persistence,2,2013,7.383846462514578,7.7,1.2159347534179688e-05,2.4e-05
Persistence,2,2014,8.57865036450464,6.662665686341732,1.1682510375976562e-05,2.4e-05
