model,horizon,pi_coverage_95,avg_pi_width,avg_interval_score,n_test
ARIMA,1,79.2%,2.110,3.974,24
ARIMA,2,87.0%,2.265,4.650,23
ARIMA,3,95.5%,2.470,3.750,22
ARIMA,4,90.5%,2.570,3.551,21
SARIMA,1,83.3%,2.300,3.323,24
SARIMA,2,91.3%,2.720,4.000,23
SARIMA,3,95.5%,2.869,3.908,22
SARIMA,4,95.2%,2.928,3.409,21
ARIMAX,1,79.2%,2.210,4.162,24
ARIMAX,2,91.3%,2.547,4.299,23
ARIMAX,3,90.9%,2.651,4.032,22
ARIMAX,4,85.7%,2.685,4.263,21
Prophet,1,75.0%,1.576,4.954,24
Prophet,2,73.9%,1.597,5.175,23
Prophet,3,72.7%,1.584,6.114,22
Prophet,4,61.9%,1.586,7.938,21
