year,yield_t_ha,autumn_temp,autumn_rain,winter_temp,winter_rain,spring_temp,spring_rain,grainfill_temp,grainfill_rain,cap_1992,cap_2005,ukraine_2022
1980,5.88,9.9,231.3,3.78,345.3,8.57,237.7,16.39,201.2,0,0,0
1981,5.84,9.42,157.1,4.06,283.9,9.21,122.6,14.31,237.5,0,0,0
1982,6.2,10.08,146.5,5.61,215.3,8.07,226.5,14.75,182.9,0,0,0
1983,6.37,10.81,224.1,4.92,237.1,8.36,180.4,15.79,217.8,0,0,0
1984,7.714,9.43,188.8,2.83,320.8,8.35,140.7,13.96,192.8,0,0,0
1985,6.33,9.46,235.7,4.94,236.2,7.63,198.5,15.29,205.3,0,0,0
1986,6.965,10.94,223.7,4.26,293.0,8.89,188.0,16.28,232.7,0,0,0
1987,5.989,10.32,196.4,3.99,282.7,8.89,156.0,13.68,155.0,0,0,0
1988,6.23,9.36,157.7,5.3,240.9,8.74,182.8,15.31,315.1,0,0,0
1989,6.74,10.2,124.3,5.75,408.6,8.61,164.6,15.4,144.7,0,0,0
1990,6.97,9.43,177.7,5.67,318.0,7.81,184.5,15.88,133.2,0,0,0
1991,7.25,9.46,242.8,3.92,158.5,8.54,206.5,14.08,263.7,0,0,0
1992,6.82,10.05,210.7,4.48,291.2,8.62,243.4,14.03,243.5,1,0,0
1993,7.33,8.36,137.7,5.14,240.3,8.33,130.5,15.7,234.3,0,0,0
1994,7.35,8.54,208.7,5.81,331.1,8.81,265.3,15.52,234.6,0,0,0
1995,7.7,9.5,219.3,4.38,232.4,9.23,101.9,15.5,199.3,0,0,0
1996,8.15,9.17,155.8,4.7,273.1,10.3,173.9,15.6,150.7,0,0,0
1997,7.38,10.26,207.7,3.8,310.3,9.13,203.5,14.69,204.2,0,0,0
1998,7.56,9.31,202.9,3.74,331.9,9.22,191.2,15.53,162.8,0,0,0
1999,8.05,8.94,142.9,5.77,208.0,9.02,155.1,15.61,253.6,0,0,0
2000,8.01,11.27,217.9,6.34,259.9,7.76,171.7,14.72,191.9,0,0,0
2001,7.08,9.95,228.0,4.93,251.5,9.11,160.3,17.06,154.6,0,0,0
2002,8.0,10.21,254.2,6.03,240.8,9.2,156.4,15.82,182.3,0,0,0
2003,7.78,9.05,252.7,5.41,385.9,10.91,214.0,14.34,222.7,0,0,0
2004,7.77,9.78,131.1,4.43,304.3,9.09,194.3,16.02,169.0,0,0,0
2005,7.96,10.34,153.1,5.46,204.3,9.46,152.3,14.57,154.8,0,1,0
2006,8.03864910059748,9.36,225.8,6.66,335.1,9.26,216.0,16.18,213.4,0,0,0
2007,7.234262738177594,10.61,225.7,5.11,407.3,8.49,192.3,16.53,213.5,0,0,0
2008,8.281402712725113,9.86,225.8,6.74,341.9,10.14,212.5,14.77,172.1,0,0,0
2009,7.927665247495372,10.14,392.6,2.58,188.8,9.9,205.2,16.39,174.1,0,0,0
2010,7.7,9.92,228.5,6.04,250.9,9.95,146.8,15.91,212.8,0,0,0
2011,7.7,11.91,256.8,5.33,356.0,8.79,157.6,16.3,120.4,0,0,0
2012,6.662665686341732,10.45,310.0,4.97,237.5,10.44,209.9,17.28,320.0,0,0,0
2013,7.383846462514578,9.64,232.6,5.38,306.6,8.51,204.4,15.37,160.5,0,0,0
2014,8.57865036450464,11.18,184.2,3.33,326.5,9.93,179.2,14.93,188.3,0,0,0
2015,8.974580086118658,9.57,237.9,5.12,224.4,11.08,184.7,14.83,217.1,0,0,0
2016,7.888437070186669,10.75,161.4,5.72,276.4,8.89,231.1,14.91,281.1,0,0,0
2017,8.280339577079515,9.04,188.2,6.87,85.5,9.21,156.3,15.6,247.2,0,0,0
2018,7.755935639187829,9.58,175.7,4.89,218.5,5.5,201.9,15.99,90.0,0,0,0
2019,8.935340611677379,10.83,204.1,4.63,264.8,9.32,171.9,15.95,199.0,0,0,0
2020,6.962318260153343,11.29,350.0,4.96,205.1,8.61,171.3,16.46,144.9,0,0,0
2021,7.812622033977193,10.87,106.6,6.4,377.9,9.78,224.0,15.75,199.0,0,0,0
2022,8.570540370269171,10.67,234.3,5.84,194.2,9.02,213.0,17.06,184.1,0,0,1
2023,8.1,10.55,119.4,5.0,253.6,10.12,212.5,15.54,217.7,0,0,0
2024,7.281128211789584,9.64,340.0,6.07,287.8,9.18,232.2,18.24,154.5,0,0,0
