year,autumn_temp,autumn_rain,winter_temp,winter_rain,spring_temp,spring_rain,grainfill_temp,grainfill_rain
1980,9.9,231.3,3.78,345.3,8.57,237.7,16.39,201.2
1981,9.42,157.1,4.06,283.9,9.21,122.6,14.31,237.5
1982,10.08,146.5,5.61,215.3,8.07,226.5,14.75,182.9
1983,10.81,224.1,4.92,237.1,8.36,180.4,15.79,217.8
1984,9.43,188.8,2.83,320.8,8.35,140.7,13.96,192.8
1985,9.46,235.7,4.94,236.2,7.63,198.5,15.29,205.3
1986,10.94,223.7,4.26,293.0,8.89,188.0,16.28,232.7
1987,10.32,196.4,3.99,282.7,8.89,156.0,13.68,155.0
1988,9.36,157.7,5.3,240.9,8.74,182.8,15.31,315.1
1989,10.2,124.3,5.75,408.6,8.61,164.6,15.4,144.7
1990,9.43,177.7,5.67,318.0,7.81,184.5,15.88,133.2
1991,9.46,242.8,3.92,158.5,8.54,206.5,14.08,263.7
1992,10.05,210.7,4.48,291.2,8.62,243.4,14.03,243.5
1993,8.36,137.7,5.14,240.3,8.33,130.5,15.7,234.3
1994,8.54,208.7,5.81,331.1,8.81,265.3,15.52,234.6
1995,9.5,219.3,4.38,232.4,9.23,101.9,15.5,199.3
1996,9.17,155.8,4.7,273.1,10.3,173.9,15.6,150.7
1997,10.26,207.7,3.8,310.3,9.13,203.5,14.69,204.2
1998,9.31,202.9,3.74,331.9,9.22,191.2,15.53,162.8
1999,8.94,142.9,5.77,208.0,9.02,155.1,15.61,253.6
2000,11.27,217.9,6.34,259.9,7.76,171.7,14.72,191.9
2001,9.95,228.0,4.93,251.5,9.11,160.3,17.06,154.6
2002,10.21,254.2,6.03,240.8,9.2,156.4,15.82,182.3
2003,9.05,252.7,5.41,385.9,10.91,214.0,14.34,222.7
2004,9.78,131.1,4.43,304.3,9.09,194.3,16.02,169.0
2005,10.34,153.1,5.46,204.3,9.46,152.3,14.57,154.8
2006,9.36,225.8,6.66,335.1,9.26,216.0,16.18,213.4
2007,10.61,225.7,5.11,407.3,8.49,192.3,16.53,213.5
2008,9.86,225.8,6.74,341.9,10.14,212.5,14.77,172.1
2009,10.14,392.6,2.58,188.8,9.9,205.2,16.39,174.1
2010,9.92,228.5,6.04,250.9,9.95,146.8,15.91,212.8
2011,11.91,256.8,5.33,356.0,8.79,157.6,16.3,120.4
2012,10.45,310.0,4.97,237.5,10.44,209.9,17.28,320.0
2013,9.64,232.6,5.38,306.6,8.51,204.4,15.37,160.5
2014,11.18,184.2,3.33,326.5,9.93,179.2,14.93,188.3
2015,9.57,237.9,5.12,224.4,11.08,184.7,14.83,217.1
2016,10.75,161.4,5.72,276.4,8.89,231.1,14.91,281.1
2017,9.04,188.2,6.87,85.5,9.21,156.3,15.6,247.2
2018,9.58,175.7,4.89,218.5,5.5,201.9,15.99,90.0
2019,10.83,204.1,4.63,264.8,9.32,171.9,15.95,199.0
2020,11.29,350.0,4.96,205.1,8.61,171.3,16.46,144.9
2021,10.87,106.6,6.4,377.9,9.78,224.0,15.75,199.0
2022,10.67,234.3,5.84,194.2,9.02,213.0,17.06,184.1
2023,10.55,119.4,5.0,253.6,10.12,212.5,15.54,217.7
2024,9.64,340.0,6.07,287.8,9.18,232.2,18.24,154.5
