year,autumn_tas,winter_tas,spring_tas,grainfill_tas,autumn_rainfall,winter_rainfall,spring_rainfall,grainfill_rainfall
1980,7.85,3.5333333333333337,7.133333333333333,13.4,237.5,354.8,149.5,313.5
1981,6.65,3.6666666666666665,7.766666666666666,13.633333333333335,267.9,298.20000000000005,292.5,179.1
1982,6.65,2.1,7.566666666666666,14.366666666666667,282.9,262.8,212.10000000000002,249.0
1983,7.8,3.366666666666667,6.633333333333333,15.233333333333334,302.5,337.40000000000003,294.2,127.9
1984,7.8999999999999995,3.466666666666667,6.666666666666667,14.699999999999998,191.7,399.1,147.70000000000002,145.0
1985,8.25,2.3333333333333335,6.833333333333333,13.033333333333333,308.6,221.39999999999998,230.8,354.70000000000005
1986,6.5,2.1666666666666665,6.3,13.199999999999998,158.0,310.59999999999997,313.8,236.3
1987,8.2,2.8000000000000003,7.0,13.299999999999999,276.29999999999995,301.6,232.3,276.2
1988,7.050000000000001,4.266666666666667,7.566666666666666,13.566666666666668,255.3,350.1,238.0,304.6
1989,7.2,5.766666666666666,7.6000000000000005,14.699999999999998,183.8,316.40000000000003,235.6,207.5
1990,8.1,5.0,8.466666666666667,14.566666666666668,188.9,482.20000000000005,190.5,216.0
1991,8.15,2.5,7.8,14.166666666666666,221.5,312.0,207.6,223.2
1992,7.35,4.133333333333333,8.466666666666667,14.266666666666666,245.5,251.0,277.9,288.8
1993,6.4,4.133333333333334,7.933333333333333,13.366666666666667,257.1,315.5,260.1,225.0
1994,5.699999999999999,3.4333333333333336,7.400000000000001,14.366666666666667,167.5,431.29999999999995,290.40000000000003,199.8
1995,8.9,4.6000000000000005,7.333333333333333,15.6,206.4,498.2,194.39999999999998,106.0
1996,9.25,2.533333333333333,6.3999999999999995,14.233333333333334,217.0,249.8,187.2,175.9
1997,7.550000000000001,3.2999999999999994,8.4,15.0,284.29999999999995,264.20000000000005,197.4,263.8
1998,8.45,5.3999999999999995,8.266666666666667,13.766666666666666,195.7,349.09999999999997,267.5,293.9
1999,7.199999999999999,4.533333333333334,8.666666666666666,14.366666666666667,306.1,370.6,253.20000000000002,231.8
2000,8.3,4.333333333333333,8.0,14.166666666666666,202.9,429.09999999999997,269.3,203.5
2001,7.550000000000001,3.5,7.3,14.333333333333334,375.9,332.8,218.5,236.6
2002,9.5,4.533333333333333,8.433333333333332,14.366666666666667,260.3,379.3,245.1,259.1
2003,8.1,3.9333333333333336,8.733333333333333,15.733333333333334,316.9,271.40000000000003,202.1,176.2
2004,7.699999999999999,4.300000000000001,8.4,14.800000000000002,184.5,346.4,213.89999999999998,314.7
2005,8.15,4.666666666666667,8.1,14.733333333333334,240.60000000000002,307.20000000000005,236.3,216.6
2006,8.6,3.766666666666666,7.333333333333333,15.733333333333333,257.6,204.89999999999998,290.2,187.1
2007,9.4,5.5,9.033333333333333,14.066666666666668,295.1,434.8,227.9,356.5
2008,8.5,4.866666666666666,8.066666666666666,14.433333333333335,164.9,385.1,246.5,321.8
2009,7.3999999999999995,3.2000000000000006,8.6,14.699999999999998,260.2,266.7,220.60000000000002,321.9
2010,8.85,1.5999999999999999,7.566666666666666,14.633333333333333,322.20000000000005,254.59999999999997,165.1,242.9
2011,6.85,2.5,9.166666666666666,13.633333333333333,223.2,263.1,185.9,265.8
2012,9.95,4.533333333333332,8.166666666666666,13.9,221.0,336.29999999999995,230.49999999999997,378.8
2013,6.949999999999999,3.266666666666667,6.0,15.133333333333333,260.7,347.6,219.10000000000002,185.9
2014,8.35,5.2,9.033333333333333,14.799999999999999,253.0,539.9,246.5,256.7
2015,9.3,3.866666666666667,7.633333333333333,13.9,280.4,364.79999999999995,250.10000000000002,268.4
2016,9.05,5.3999999999999995,7.7,14.9,243.9,504.80000000000007,222.7,259.7
2017,7.3500000000000005,4.966666666666666,9.1,14.666666666666666,151.9,246.6,188.2,313.90000000000003
2018,8.45,3.4666666666666663,8.066666666666666,15.733333333333334,209.0,321.79999999999995,235.3,171.9
2019,8.4,5.066666666666666,8.4,15.133333333333333,225.8,253.29999999999998,241.0,330.7
2020,7.1,5.266666666666667,8.700000000000001,14.733333333333334,258.79999999999995,474.7,141.39999999999998,325.5
2021,8.55,3.533333333333333,7.066666666666667,15.266666666666666,287.6,412.4,228.5,186.1
2022,8.95,5.2,8.866666666666667,15.666666666666666,248.8,329.9,176.9,161.6
2023,9.899999999999999,4.366666666666667,8.366666666666667,15.366666666666667,314.5,291.90000000000003,247.0,286.0
2024,8.5,5.3,9.366666666666667,14.366666666666667,299.2,461.8,300.9,244.2
