year,yield_t_ha
1980,5.88
1981,5.84
1982,6.2
1983,6.37
1984,7.714
1985,6.33
1986,6.965
1987,5.989
1988,6.23
1989,6.74
1990,6.97
1991,7.25
1992,6.82
1993,7.33
1994,7.35
1995,7.7
1996,8.15
1997,7.38
1998,7.56
1999,8.05
2000,8.01
2001,7.08
2002,8.0
2003,7.78
2004,7.77
2005,7.96
2006,8.03864910059748
2007,7.234262738177594
2008,8.281402712725113
2009,7.927665247495372
2010,7.7
2011,7.7
2012,6.662665686341732
2013,7.383846462514578
2014,8.57865036450464
2015,8.974580086118658
2016,7.8884370701866695
2017,8.280339577079515
2018,7.755935639187829
2019,8.935340611677379
2020,6.962318260153343
2021,7.812622033977193
2022,8.570540370269171
2023,8.1
2024,7.281128211789584
