year,month,rainfall
1836,1,101.5
1836,2,69.8
1836,3,123.0
1836,4,75.1
1836,5,13.8
1836,6,76.5
1836,7,109.2
1836,8,63.1
1836,9,113.2
1836,10,120.8
1836,11,150.0
1836,12,108.7
1837,1,79.5
1837,2,104.7
1837,3,36.3
1837,4,54.1
1837,5,39.9
1837,6,57.9
1837,7,87.5
1837,8,90.7
1837,9,67.5
1837,10,97.0
1837,11,97.8
1837,12,96.0
1838,1,35.4
1838,2,55.9
1838,3,69.7
1838,4,57.1
1838,5,61.8
1838,6,117.8
1838,7,84.2
1838,8,93.9
1838,9,74.9
1838,10,93.7
1838,11,120.5
1838,12,74.3
1839,1,75.7
1839,2,67.2
1839,3,83.1
1839,4,38.4
1839,5,35.7
1839,6,93.7
1839,7,119.7
1839,8,84.9
1839,9,145.1
1839,10,102.1
1839,11,116.0
1839,12,103.9
1840,1,124.6
1840,2,68.6
1840,3,14.2
1840,4,22.2
1840,5,83.8
1840,6,68.6
1840,7,91.8
1840,8,78.0
1840,9,106.1
1840,10,65.9
1840,11,126.4
1840,12,41.0
1841,1,82.0
1841,2,58.6
1841,3,74.7
1841,4,56.6
1841,5,70.4
1841,6,70.1
1841,7,91.3
1841,8,118.0
1841,9,118.9
1841,10,151.7
1841,11,108.5
1841,12,123.7
1842,1,77.9
1842,2,68.4
1842,3,110.9
1842,4,11.2
1842,5,65.8
1842,6,63.1
1842,7,78.1
1842,8,64.3
1842,9,90.0
1842,10,63.9
1842,11,138.3
1842,12,91.5
1843,1,104.4
1843,2,57.8
1843,3,42.4
1843,4,97.9
1843,5,100.0
1843,6,68.2
1843,7,92.0
1843,8,97.0
1843,9,27.4
1843,10,163.8
1843,11,116.1
1843,12,41.0
1844,1,82.7
1844,2,95.3
1844,3,90.4
1844,4,30.6
1844,5,10.8
1844,6,66.7
1844,7,74.0
1844,8,85.0
1844,9,65.1
1844,10,91.8
1844,11,112.1
1844,12,26.1
1845,1,87.4
1845,2,47.6
1845,3,64.2
1845,4,52.4
1845,5,53.3
1845,6,82.2
1845,7,84.5
1845,8,108.2
1845,9,87.3
1845,10,117.8
1845,11,106.5
1845,12,135.5
1846,1,110.4
1846,2,60.1
1846,3,81.1
1846,4,96.3
1846,5,49.0
1846,6,74.7
1846,7,114.8
1846,8,114.7
1846,9,64.1
1846,10,157.0
1846,11,85.8
1846,12,54.5
1847,1,63.0
1847,2,53.8
1847,3,43.5
1847,4,65.1
1847,5,92.6
1847,6,70.5
1847,7,48.6
1847,8,60.6
1847,9,80.6
1847,10,132.0
1847,11,103.8
