year,month,tas
1884,1,5.0
1884,2,4.2
1884,3,5.1
1884,4,6.2
1884,5,9.7
1884,6,12.5
1884,7,14.5
1884,8,15.3
1884,9,13.0
1884,10,8.3
1884,11,4.6
1884,12,3.3
1885,1,2.0
1885,2,4.2
1885,3,3.5
1885,4,6.6
1885,5,7.6
1885,6,12.3
1885,7,14.5
1885,8,12.4
1885,9,10.9
1885,10,6.2
1885,11,4.8
1885,12,3.0
1886,1,1.1
1886,2,0.8
1886,3,2.9
1886,4,6.3
1886,5,8.8
1886,6,11.9
1886,7,14.2
1886,8,14.1
1886,9,12.0
1886,10,9.9
1886,11,5.7
1886,12,1.2
1887,1,2.1
1887,2,3.5
1887,3,3.3
1887,4,5.4
1887,5,8.7
1887,6,14.3
1887,7,15.6
1887,8,14.0
1887,9,10.6
1887,10,6.4
1887,11,3.9
1887,12,2.1
1888,1,2.8
1888,2,1.1
1888,3,2.1
1888,4,5.3
1888,5,9.2
1888,6,11.8
1888,7,12.3
1888,8,12.8
1888,9,11.2
1888,10,7.6
1888,11,6.5
1888,12,4.3
1889,1,3.0
1889,2,2.2
1889,3,3.8
1889,4,6.0
1889,5,11.4
1889,6,14.0
1889,7,13.6
1889,8,13.4
1889,9,11.5
1889,10,7.6
1889,11,6.1
1889,12,3.1
1890,1,4.8
1890,2,2.7
1890,3,5.0
1890,4,6.2
1890,5,10.5
1890,6,12.4
1890,7,13.0
1890,8,13.1
1890,9,13.6
1890,10,8.9
1890,11,5.0
1890,12,-0.1
1891,1,1.3
1891,2,4.4
1891,3,2.9
1891,4,5.1
1891,5,8.2
1891,6,13.2
1891,7,13.7
1891,8,13.0
1891,9,12.8
1891,10,8.4
1891,11,4.6
1891,12,3.5
1892,1,1.5
1892,2,2.5
1892,3,1.9
1892,4,6.2
1892,5,9.9
1892,6,11.7
1892,7,12.8
1892,8,13.6
1892,9,10.7
1892,10,6.0
1892,11,5.8
1892,12,1.4
1893,1,1.6
1893,2,3.6
1893,3,6.2
1893,4,8.9
1893,5,11.5
1893,6,14.1
1893,7,14.8
1893,8,15.8
1893,9,11.6
1893,10,8.7
1893,11,4.1
1893,12,4.1
1894,1,2.4
1894,2,3.8
1894,3,5.6
1894,4,8.5
1894,5,7.9
1894,6,12.3
1894,7,14.6
1894,8,13.2
1894,9,10.6
1894,10,8.0
1894,11,6.9
1894,12,4.2
1895,1,-0.7
1895,2,-2.3
1895,3,4.2
1895,4,7.1
1895,5,10.9
1895,6,13.1
1895,7,13.7
1895,8,14.3
1895,9,14.2
1895,10,6.2
1895,11,6.1
1895,12,3.0
1896,1,3.9
1896,2,4.2
1896,3,5.4
1896,4,7.9
1896,5,11.0
1896,6,14.2
1896,7,14.6
1896,8,13.0
1896,9,11.7
1896,10,5.9
1896,11,4.2
1896,12,3.0
1897,1,0.9
1897,2,4.5
1897,3,5.2
1897,4,5.8
1897,5,8.6
1897,6,13.3
1897,7,14.9
1897,8,14.9
1897,9,10.9
1897,10,9.1
1897,11,6.6
1897,12,3.9
1898,1,5.7
1898,2,3.6
1898,3,3.5
1898,4,7.3
1898,5,9.1
1898,6,12.3
1898,7,13.8
1898,8,14.7
1898,9,13.8
1898,10,10.2
1898,11,6.0
1898,12,6.1
1899,1,3.4
1899,2,4.0
1899,3,4.2
1899,4,6.5
1899,5,8.5
1899,6,14.0
1899,7,15.5
1899,8,16.3
1899,9,12.0
1899,10,8.6
1899,11,7.8
1899,12,1.8
1900,1,3.5
1900,2,1.2
1900,3,2.7
1900,4,7.1
1900,5,9.1
1900,6,13.2
1900,7,15.7
1900,8,13.8
1900,9,12.4
1900,10,8.2
1900,11,5.9
1900,12,6.1
1901,1,2.9
1901,2,1.6
1901,3,3.4
1901,4,7.2
1901,5,10.4
1901,6,12.3
1901,7,16.3
1901,8,14.4
1901,9,12.8
1901,10,8.3
1901,11,4.5
1901,12,2.5
1902,1,3.6
1902,2,0.8
1902,3,5.5
1902,4,6.5
1902,5,7.5
1902,6,12.1
1902,7,13.0
1902,8,12.8
1902,9,11.8
1902,10,8.5
1902,11,6.3
1902,12,3.8
1903,1,3.0
1903,2,5.7
1903,3,5.5
1903,4,5.4
1903,5,9.6
1903,6,11.6
1903,7,13.6
1903,8,12.8
1903,9,11.8
1903,10,9.1
1903,11,5.5
1903,12,2.5
1904,1,3.4
1904,2,2.4
1904,3,3.4
1904,4,7.5
1904,5,9.4
1904,6,12.2
1904,7,15.1
1904,8,13.7
1904,9,11.6
1904,10,8.8
1904,11,4.7
1904,12,3.5
1905,1,3.4
1905,2,4.1
1905,3,5.6
1905,4,6.0
1905,5,9.7
1905,6,13.5
1905,7,15.6
1905,8,13.4
1905,9,11.3
1905,10,6.4
1905,11,4.3
1905,12,4.7
1906,1,4.3
1906,2,2.2
1906,3,3.9
1906,4,6.1
1906,5,8.9
1906,6,12.9
1906,7,14.1
1906,8,15.2
1906,9,12.8
1906,10,9.5
1906,11,6.6
1906,12,2.5
1907,1,3.0
1907,2,2.1
1907,3,5.4
1907,4,6.5
1907,5,9.1
1907,6,11.1
1907,7,13.0
1907,8,12.8
1907,9,12.5
1907,10,8.7
1907,11,5.6
1907,12,3.8
1908,1,2.2
1908,2,4.4
1908,3,3.3
1908,4,5.0
1908,5,10.9
1908,6,12.8
1908,7,14.3
1908,8,13.3
1908,9,11.8
1908,10,11.2
1908,11,6.6
1908,12,3.6
1909,1,2.9
1909,2,2.7
1909,3,2.5
1909,4,7.3
1909,5,9.5
1909,6,11.0
1909,7,13.3
1909,8,14.1
1909,9,10.9
1909,10,9.0
1909,11,4.0
1909,12,2.6
1910,1,2.5
