model,horizon,rmse,mae,n_test,avg_train_time_s,avg_peak_memory_mb
Persistence,1,0.8161033111711903,0.6743057465437797,24,2.3643175760904947e-06,2.5e-05
Persistence,2,0.8624568321521571,0.695353089447964,23,3.286029981530231e-06,2.3999999999999997e-05
Persistence,3,0.8460389875420684,0.658307439290546,22,3.998929804021662e-06,2.4e-05
Persistence,4,0.7734342053523339,0.6531003237026457,21,3.962289719354539e-06,2.4e-05
ARIMA,1,0.7397912252615634,0.5932627111861541,24,0.009645690520604452,0.0672775
ARIMA,2,0.7267455560810712,0.5821029394486503,23,0.008547741433848505,0.06693678260869565
ARIMA,3,0.7364042816051134,0.5949897514463064,22,0.00603417916731401,0.06748995454545455
ARIMA,4,0.7786762824600507,0.6651741983369783,21,0.005917208535330636,0.06793328571428571
SARIMA,1,0.735663431569114,0.6062589356338611,24,0.008892307678858439,0.06850020833333333
SARIMA,2,0.7694754203367974,0.6124437033955319,23,0.0078396693519924,0.06565265217391304
SARIMA,3,0.804023192963212,0.664816045840457,22,0.006281885233792392,0.06588063636363636
SARIMA,4,0.8269818171125288,0.6978121831714871,21,0.0057957399459112255,0.06619190476190477
ARIMAX,1,0.7645632265517377,0.6215682446809758,24,0.09109343091646831,0.26697220833333335
ARIMAX,2,0.8107073980201468,0.677738134608455,23,0.0844408947488536,0.26450147826086956
ARIMAX,3,0.8268891449563789,0.697752842132624,22,0.07541474429043857,0.26600286363636366
ARIMAX,4,0.867632393218875,0.737662397623801,21,0.08492371014186315,0.26743814285714285
Prophet,1,0.6793368087661092,0.5515600966542783,24,1.1676601866881053,1.8208912083333333
Prophet,2,0.7211934788487065,0.621266534843715,23,1.1717947876971702,1.8255976956521738
Prophet,3,0.7762977856123465,0.6384921732353043,22,1.1675478653474287,1.8418453181818182
Prophet,4,0.8818801683640715,0.7628879850044896,21,1.3008778095245361,1.8583207619047617
RandomForest,1,0.9170172831909815,0.7338922233163062,24,0.9561722576618195,0.41282225
RandomForest,2,0.9665897231423088,0.8467045389655743,23,0.9813951513041621,0.39464356521739136
RandomForest,3,1.0185182421620897,0.9117003287797965,22,0.9877029007131403,0.39265331818181815
RandomForest,4,1.0550656018887095,0.9259241835822226,21,1.008783567519415,0.3919139523809524
XGBoost,1,1.1397431981697366,0.8796959807931666,24,0.9807521998882294,0.4178728333333333
XGBoost,2,1.137170396838443,1.0136670414888773,23,0.9424285785011624,0.3965081739130435
XGBoost,3,1.2400759023739785,1.1270336640537237,22,0.9899152192202482,0.3946807272727273
XGBoost,4,1.252121859894695,1.1179500906107076,21,0.9796848070053827,0.39380352380952377
ARIMA+XGBoost,1,0.7069896990627504,0.5574790406459286,24,0.9740562438964844,0.41044820833333334
ARIMA+XGBoost,2,0.6854942083111311,0.5293384633522956,23,0.953840390495632,0.3995406956521739
ARIMA+XGBoost,3,0.6884826895307021,0.5510601404620196,22,0.9715971838344227,0.3990585
ARIMA+XGBoost,4,0.6935825671921232,0.5896200080101891,21,0.9647379489172072,0.3977069523809524
