horizon,model,standard_rmse,oracle_rmse,improvement_pct,n_test
2,ARIMA,0.7267455560810712,0.7267455560810712,0.0,23
3,ARIMA,0.7364042816051134,0.7364042816051134,0.0,22
4,ARIMA,0.7786762824600507,0.7786762824600507,0.0,21
1,ARIMA+XGBoost,0.7069896990627504,2.0429052476709932,-189.0,24
2,ARIMA+XGBoost,0.6854942083111311,1.3369022904430512,-95.0,23
3,ARIMA+XGBoost,0.6884826895307021,1.3502769283404057,-96.1,22
4,ARIMA+XGBoost,0.6935825671921232,1.3510146971078287,-94.8,21
1,ARIMAX,0.7645632265517377,0.7196540861156818,5.9,24
2,ARIMAX,0.8107073980201468,0.7619158937146764,6.0,23
3,ARIMAX,0.8268891449563789,0.8477727846806806,-2.5,22
4,ARIMAX,0.867632393218875,0.8304090128718975,4.3,21
1,Prophet,0.6793368087661092,0.6793368087661092,0.0,24
2,Prophet,0.7211934788487065,0.7132650595551403,1.1,23
3,Prophet,0.7762977856123465,0.7160809474662875,7.8,22
4,Prophet,0.8818801683640715,0.8075173958525824,8.4,21
1,RandomForest,0.9170172831909816,0.7287031323686063,20.5,24
2,RandomForest,0.9665897231423088,0.7537430622307669,22.0,23
3,RandomForest,1.0185182421620895,0.749428949257082,26.4,22
4,RandomForest,1.0550656018887097,0.7539123066589878,28.5,21
1,XGBoost,1.1397431981697366,0.778817672784603,31.7,24
2,XGBoost,1.137170396838443,0.8111039985226478,28.7,23
3,XGBoost,1.2400759023739785,0.7916371613393426,36.2,22
4,XGBoost,1.252121859894695,0.791455605999403,36.8,21
