model,horizon,test_year,y_true,y_pred,pi_lower,pi_upper,pi_width,covered
ARIMA,1,2001,7.08,8.144531983892378,7.196385750465272,9.092678217319484,1.896292466854213,False
ARIMA,2,2002,8.0,7.60436459860197,6.60117883814306,8.60755035906088,2.006371520917821,True
ARIMA,3,2003,7.78,7.037351817876016,5.709933535932788,8.364770099819244,2.654836563886456,True
ARIMA,4,2004,7.77,7.037351817876016,5.709933535932788,8.364770099819244,2.654836563886456,True
ARIMA,1,2002,8.0,7.02239386737059,5.920903067334221,8.123884667406958,2.2029816000727376,True
ARIMA,2,2003,7.78,6.986987848586418,5.694079418452374,8.279896278720463,2.585816860268088,True
ARIMA,3,2004,7.77,6.965226516781528,5.60701027981046,8.323442753752596,2.7164324739421364,True
ARIMA,4,2005,7.96,6.951851515067576,5.569767398719838,8.333935631415313,2.764168232695475,True
ARIMA,1,2003,7.78,7.408539315978519,6.357930314757479,8.45914831719956,2.101218002442081,True
ARIMA,2,2004,7.77,7.558212718794743,6.432108686564753,8.684316751024733,2.25220806445998,True
ARIMA,3,2005,7.96,7.373022653772031,6.102669662778806,8.643375644765257,2.5407059819864517,True
ARIMA,4,2006,8.03864910059748,7.363045162696077,6.033181985764697,8.692908339627456,2.6597263538627587,True
ARIMA,1,2004,7.77,7.71707207809264,6.680309974411215,8.753834181774064,2.0735242073628486,True
ARIMA,2,2005,7.96,7.605559032497001,6.478410502840334,8.732707562153669,2.254297059313335,True
ARIMA,3,2006,8.03864910059748,7.533772108146469,6.262625946869294,8.804918269423645,2.542292322554351,True
ARIMA,4,2007,7.234262738177594,7.460232631171483,6.121218454427424,8.79924680791554,2.6780283534881164,True
ARIMA,1,2005,7.96,7.633716060937323,6.618317166750106,8.64911495512454,2.030797788374434,True
ARIMA,2,2006,8.03864910059748,7.5715458546678205,6.4672231749310605,8.67586853440458,2.20864535947352,True
ARIMA,3,2007,7.234262738177594,7.491830681593177,6.243760625352023,8.739900737834331,2.4961401124823084,True
ARIMA,4,2008,8.281402712725113,7.433508323117726,6.117331644650336,8.749685001585117,2.632353356934781,True
ARIMA,1,2006,8.03864910059748,7.733119906500288,6.731954910593506,8.73428490240707,2.002329991813564,True
ARIMA,2,2007,7.234262738177594,7.710673536770634,6.6188936289286975,8.80245344461257,2.183559815683873,True
ARIMA,3,2008,8.281402712725113,7.609867770293697,6.368306963255086,8.851428577332308,2.4831216140772225,True
ARIMA,4,2009,7.927665247495372,7.557011664173912,6.242471759277239,8.871551569070586,2.629079809793348,True
ARIMA,1,2007,7.234262738177594,7.8657069891675935,6.878737590565363,8.852676387769824,1.973938797204461,True
ARIMA,2,2008,8.281402712725113,7.820213922958416,6.738908276862326,8.901519569054507,2.1626112921921807,True
ARIMA,3,2009,7.927665247495372,7.729693359056013,6.494002232139802,8.965384485972223,2.471382253832421,True
ARIMA,4,2010,7.7,7.670725140190517,6.3567133195677865,8.984736960813247,2.628023641245461,True
ARIMA,1,2008,8.281402712725113,7.504575472475738,6.505958623226805,8.50319232172467,1.9972336984978651,True
ARIMA,2,2009,7.927665247495372,7.308895342056117,6.222802269072681,8.394988415039553,2.1721861459668714,True
ARIMA,3,2010,7.7,7.329819679622152,6.103680595878269,8.555958763366034,2.4522781674877647,True
ARIMA,4,2011,7.7,7.26304504008032,5.970618134726664,8.555471945433977,2.5848538107073136,True
ARIMA,1,2009,7.927665247495372,7.610989513871548,6.596880509575791,8.625098518167306,2.028218008591515,True
ARIMA,2,2010,7.7,7.837817433535306,6.752456414274029,8.923178452796583,2.1707220385225536,True
ARIMA,3,2011,7.7,7.615404412598939,6.368009018266768,8.86279980693111,2.494790788664342,True
ARIMA,4,2012,6.662665686341732,7.635099505546552,6.32120506279799,8.948993948295115,2.627788885497125,True
ARIMA,1,2010,7.7,7.8382977849933955,6.843039503676352,8.833556066310438,1.9905165626340853,True
ARIMA,2,2011,7.7,7.808148668934498,6.741760322215893,8.874537015653102,2.1327766934372088,True
ARIMA,3,2012,6.662665686341732,7.779215412527447,6.651279332564435,8.907151492490458,2.2558721599260227,True
ARIMA,4,2013,7.383846462514578,7.751448982338221,6.569661337321161,8.933236627355281,2.3635752900341203,True
ARIMA,1,2011,7.7,7.655824116102361,6.819295589690111,8.49235264251461,1.6730570528244997,True
ARIMA,2,2012,6.662665686341732,7.586245281081355,6.748482681429949,8.424007880732763,1.6755251993028135,False
ARIMA,3,2013,7.383846462514578,7.509279672741684,6.669968532573746,8.348590812909622,1.678622280335876,True
ARIMA,4,2014,8.57865036450464,7.425894675873815,6.584787150447935,8.267002201299695,1.6822150508517597,False
ARIMA,1,2012,6.662665686341732,7.702612081759652,6.737196751566075,8.668027411953227,1.9308306603871523,False
ARIMA,2,2013,7.383846462514578,7.676155560950706,6.642261687411638,8.710049434489774,2.0677877470781354,True
ARIMA,3,2014,8.57865036450464,7.650800589949068,6.557785103958752,8.743816075939383,2.186030971980632,True
ARIMA,4,2015,8.974580086118658,7.626501304372692,6.481872128880378,8.771130479865006,2.2892583509846283,False
ARIMA,1,2013,7.383846462514578,7.151780785804479,6.138472408973493,8.165089162635464,2.026616753661971,True
ARIMA,2,2014,8.57865036450464,6.927934871032602,5.835700685847615,8.02016905621759,2.1844683703699745,False
ARIMA,3,2015,8.974580086118658,7.036207389935033,5.801923968163242,8.270490811706823,2.468566843543581,False
ARIMA,4,2016,7.888437070186669,6.989000684150424,5.692574577932149,8.2854267903687,2.5928522124365507,True
ARIMA,1,2014,8.57865036450464,7.01192891710395,6.011182975200993,8.012674859006907,2.0014918838059144,False
ARIMA,2,2015,8.974580086118658,7.175310312292995,6.103124471366159,8.24749615321983,2.144371681853671,False
ARIMA,3,2016,7.888437070186669,7.080125351316124,5.864359746671044,8.295890955961205,2.4315312092901618,True
ARIMA,4,2017,8.280339577079515,7.112936649319984,5.838001208832018,8.387872089807951,2.5498708809759334,True
ARIMA,1,2015,8.974580086118658,7.743455584404419,6.6713446669349965,8.815566501873842,2.144221834938846,False
ARIMA,2,2016,7.888437070186669,7.715968479963415,6.585450074601778,8.846486885325051,2.261036810723273,True
ARIMA,3,2017,8.280339577079515,7.689690643079158,6.5083137981369,8.871067488021415,2.3627536898845154,True
ARIMA,4,2018,7.755935639187829,7.664568873239863,6.43855393356272,8.890583812917004,2.452029879354284,True
ARIMA,1,2016,7.888437070186669,8.466604939731626,7.292978037448167,9.640231842015083,2.3472538045669182,True
ARIMA,2,2017,8.280339577079515,8.116603222947392,6.69136414726819,9.541842298626594,2.8504781513584048,True
ARIMA,3,2018,7.755935639187829,7.875447326594589,6.345172312541639,9.40572234064754,3.060550028105901,True
ARIMA,4,2019,8.935340611677379,7.709287666350479,6.131593942524294,9.286981390176663,3.1553874476523696,True
ARIMA,1,2017,8.280339577079515,8.039208897669464,6.923195629466095,9.155222165872834,2.232026536406739,True
ARIMA,2,2018,7.755935639187829,8.00184968789658,6.81244134107336,9.191258034719802,2.378816693646442,True
ARIMA,3,2019,8.935340611677379,7.966210155160803,6.713740641343047,9.218679668978558,2.504939027635511,True
ARIMA,4,2020,6.962318260153343,7.93221114122699,6.624993694699057,9.239428587754922,2.614434893055865,True
ARIMA,1,2018,7.755935639187829,8.102769860862587,6.999984546203892,9.20555517552128,2.205570629317389,True
ARIMA,2,2019,8.935340611677379,8.065992198555882,6.887793838431114,9.24419055868065,2.356396720249536,True
ARIMA,3,2020,6.962318260153343,8.030802906032125,6.787569237594562,9.274036574469688,2.486467336875126,True
ARIMA,4,2021,7.812622033977193,7.997133384081655,6.697210401441894,9.297056366721415,2.5998459652795214,True
ARIMA,1,2019,8.935340611677379,7.924921628394177,6.830002904581642,9.019840352206712,2.18983744762507,True
ARIMA,2,2020,6.962318260153343,7.891792817269987,6.725211881213358,9.058373753326617,2.3331618721132585,True
ARIMA,3,2021,7.812622033977193,7.8602175266624945,6.632157236869442,9.088277816455546,2.4561205795861047,True
ARIMA,4,2022,8.570540370269171,7.830122906809996,6.548768373683861,9.111477439936133,2.5627090662522702,True
ARIMA,1,2020,6.962318260153343,8.2851735597151,7.1647687277619445,9.405578391668254,2.240809663906309,False
ARIMA,2,2021,7.812622033977193,8.254070149681874,7.065477962599362,9.442662336764387,2.377184374165025,True
ARIMA,3,2022,8.570540370269171,8.223965533231317,6.974867289386216,9.473063777076415,2.498196487690201,True
ARIMA,4,2023,8.1,8.194827637075647,6.891592883421932,9.498062390729364,2.6064695073074304,True
ARIMA,1,2021,7.812622033977193,7.778473638256184,6.599522944725358,8.95742433178701,2.357901387061652,True
ARIMA,2,2022,8.570540370269171,7.753890135652371,6.5208276435144015,8.986952627790341,2.46612498427594,True
ARIMA,3,2023,8.1,7.730367146158721,6.449764376518093,9.010969915799349,2.5612055392812554,True
ARIMA,4,2024,7.281128211789584,7.707858920067594,6.385226739975162,9.030491100160027,2.645264360184865,True
ARIMA,1,2022,8.570540370269171,7.767407019669924,6.602797261017065,8.932016778322783,2.3292195173057184,True
ARIMA,2,2023,8.1,7.744054829656956,6.526347020972892,8.96176263834102,2.435415617368127,True
ARIMA,3,2024,7.281128211789584,7.72168002413215,6.457187424856604,8.986172623407695,2.5289851985510907,True
ARIMA,1,2023,8.1,8.007426972889919,6.8350182204872265,9.17983572529261,2.344817504805384,True
ARIMA,2,2024,7.281128211789584,7.984321730949975,6.7634734341332265,9.205170027766725,2.4416965936334964,True
ARIMA,1,2024,7.281128211789584,8.014552682744545,6.855649747902721,9.17345561758637,2.317805869683649,True
Prophet,1,2001,7.08,7.873843526555813,7.174328715425017,8.553575231522519,1.3792465160975018,False
Prophet,2,2002,8.0,8.283195851767234,7.558502229949205,8.94867217454466,1.3901699445954545,True
Prophet,3,2003,7.78,8.408378110431158,7.676989084845176,9.160895653165808,1.4839065683206316,True
Prophet,4,2004,7.77,8.51084755269513,7.790358382679657,9.282939552923024,1.4925811702433682,False
Prophet,1,2002,8.0,7.900099151311441,7.156293953339179,8.66486418139881,1.5085702280596314,True
Prophet,2,2003,7.78,8.22925480251439,7.429961899311137,9.065057972171775,1.63509607286064,True
Prophet,3,2004,7.77,8.31072167592554,7.500658338682616,9.16872936239781,1.6680710237151946,True
Prophet,4,2005,7.96,8.420698819620263,7.630471585277293,9.186946614775556,1.556475029498264,True
Prophet,1,2003,7.78,7.938730534955802,7.188006557556694,8.696337775525558,1.5083312179688644,True
Prophet,2,2004,7.77,8.248892100707465,7.486715069050613,9.043993059985802,1.557277990935188,True
Prophet,3,2005,7.96,8.386771783943967,7.583464459979275,9.233743398270496,1.6502789382912209,True
Prophet,4,2006,8.03864910059748,8.477396769013804,7.731414015007926,9.228623467806932,1.497209452799008,True
Prophet,1,2004,7.77,7.933205198703019,7.133223610591164,8.672609060497203,1.5393854499060389,True
Prophet,2,2005,7.96,8.284912354076782,7.474117833550953,9.111114286262044,1.6369964527110907,True
Prophet,3,2006,8.03864910059748,8.432243474074605,7.663929779723892,9.16231503469684,1.4983852549729484,True
Prophet,4,2007,7.234262738177594,8.568447675597781,7.789869798661385,9.351602306111548,1.561732507450163,False
Prophet,1,2005,7.96,8.137094693321794,7.396512960742223,8.894998296558214,1.4984853358159906,True
Prophet,2,2006,8.03864910059748,8.332985356769447,7.579043356203226,9.10791710775332,1.528873751550095,True
Prophet,3,2007,7.234262738177594,8.387282349789858,7.554927292594328,9.164947779834456,1.610020487240126,False
Prophet,4,2008,8.281402712725113,8.48973069791783,7.688848842468596,9.297179546690398,1.6083307042218014,True
Prophet,1,2006,8.03864910059748,8.046527154448126,7.254604341947539,8.772687523824207,1.5180831818766674,True
Prophet,2,2007,7.234262738177594,8.322935838115974,7.543279920316813,9.079600778504082,1.5363208581872687,False
Prophet,3,2008,8.281402712725113,8.48837477819471,7.717626304442885,9.237322029560914,1.5196957251180292,True
Prophet,4,2009,7.927665247495372,8.547982815372837,7.791219949342232,9.296057080004582,1.5048371306623496,True
Prophet,1,2007,7.234262738177594,8.144400750990448,7.42492642062149,8.85337540649966,1.4284489858781706,False
Prophet,2,2008,8.281402712725113,8.487571987193563,7.7744926488465715,9.271465170306689,1.4969725214601155,True
Prophet,3,2009,7.927665247495372,8.513848267229315,7.760444024987921,9.21491787632125,1.4544738513333293,True
Prophet,4,2010,7.7,8.649155958431555,7.89929949297183,9.33946144726904,1.4401619542972115,False
Prophet,1,2008,8.281402712725113,7.7847585751481105,6.978700173153448,8.540152413276951,1.5614522401235034,True
Prophet,2,2009,7.927665247495372,8.394087242930851,7.628983400573616,9.149955166809118,1.520971766235502,True
Prophet,3,2010,7.7,8.38302535357764,7.572904959594523,9.153016716039083,1.58011175644456,True
Prophet,4,2011,7.7,8.477296391768013,7.718360441411153,9.293079877966871,1.5747194365557204,False
